Date,V1,V2,V3
2024-5-9 9:44:6,128.94 ,126.32 ,127.37 
2024-5-9 9:44:7,128.95 ,126.32 ,127.39 
2024-5-9 9:44:8,128.96 ,126.31 ,127.37 
2024-5-9 9:44:9,128.92 ,126.28 ,127.34 
2024-5-9 9:44:11,128.95 ,126.25 ,127.32 
2024-5-9 9:44:12,128.91 ,126.24 ,127.32 
2024-5-9 9:44:13,128.90 ,126.25 ,127.36 
2024-5-9 9:44:14,128.91 ,126.24 ,127.33 
2024-5-9 9:44:16,128.78 ,126.13 ,127.22 
2024-5-9 9:44:17,128.80 ,126.12 ,127.21 
2024-5-9 9:44:18,128.77 ,126.15 ,127.19 
2024-5-9 9:44:19,128.74 ,126.13 ,127.18 
2024-5-9 9:44:20,128.76 ,126.13 ,127.16 
2024-5-9 9:44:22,128.76 ,126.13 ,127.15 
2024-5-9 9:44:23,128.79 ,126.14 ,127.14 
2024-5-9 9:44:24,128.79 ,126.15 ,127.14 
2024-5-9 9:44:25,128.78 ,126.16 ,127.15 
2024-5-9 9:44:27,128.82 ,126.19 ,127.17 
2024-5-9 9:44:28,128.83 ,126.18 ,127.19 
2024-5-9 9:44:29,128.82 ,126.18 ,127.18 
2024-5-9 9:44:30,128.84 ,126.17 ,127.18 
2024-5-9 9:44:31,128.84 ,126.19 ,127.21 
2024-5-9 9:44:33,128.89 ,126.17 ,127.18 
2024-5-9 9:44:34,128.87 ,126.13 ,127.16 
2024-5-9 9:44:35,128.87 ,126.15 ,127.17 
2024-5-9 9:44:36,128.86 ,126.17 ,127.18 
2024-5-9 9:44:37,128.84 ,126.18 ,127.18 
2024-5-9 9:44:39,128.83 ,126.17 ,127.13 
2024-5-9 9:44:40,128.84 ,126.20 ,127.20 
2024-5-9 9:44:41,128.86 ,126.22 ,127.22 
2024-5-9 9:44:42,128.84 ,126.18 ,127.17 
2024-5-9 9:44:44,128.82 ,126.13 ,127.11 
2024-5-9 9:44:45,128.78 ,126.11 ,127.04 
2024-5-9 9:44:46,128.80 ,126.14 ,127.10 
2024-5-9 9:44:47,128.77 ,126.12 ,127.07 
2024-5-9 9:44:48,128.77 ,126.10 ,127.07 
2024-5-9 9:44:50,128.66 ,125.98 ,126.94 
2024-5-9 9:44:51,128.64 ,125.95 ,126.89 
2024-5-9 9:44:52,128.61 ,125.94 ,126.93 
2024-5-9 9:44:53,128.62 ,125.91 ,126.92 
2024-5-9 9:44:55,128.58 ,125.92 ,126.91 
2024-5-9 9:44:56,128.50 ,125.83 ,126.81 
2024-5-9 9:44:57,128.54 ,125.84 ,126.85 
2024-5-9 9:44:58,128.53 ,125.88 ,126.88 
2024-5-9 9:44:59,128.53 ,125.86 ,126.83 
2024-5-9 9:45:1,128.54 ,125.87 ,126.84 
2024-5-9 9:45:2,128.59 ,125.88 ,126.81 
2024-5-9 9:45:3,128.60 ,125.90 ,126.87 
2024-5-9 9:45:4,128.65 ,125.94 ,126.99 
2024-5-9 9:45:5,128.68 ,126.00 ,127.02 
2024-5-9 9:45:7,128.66 ,126.02 ,127.04 
2024-5-9 9:45:8,128.70 ,126.08 ,127.05 
2024-5-9 9:45:9,128.82 ,126.16 ,127.18 
2024-5-9 9:45:10,128.80 ,126.11 ,127.14 
2024-5-9 9:45:12,128.72 ,126.10 ,127.14 
2024-5-9 9:45:13,128.73 ,126.05 ,127.09 
2024-5-9 9:45:14,128.68 ,126.03 ,127.06 
2024-5-9 9:45:15,128.66 ,125.96 ,126.97 
2024-5-9 9:45:16,128.60 ,125.91 ,126.95 
2024-5-9 9:45:18,128.67 ,126.05 ,127.09 
2024-5-9 9:45:19,128.66 ,126.00 ,127.02 
2024-5-9 9:45:20,128.64 ,125.99 ,126.99 
2024-5-9 9:45:21,128.65 ,126.00 ,127.03 
2024-5-9 9:45:23,128.58 ,125.93 ,126.94 
2024-5-9 9:45:24,128.55 ,125.88 ,126.97 
2024-5-9 9:45:25,128.60 ,125.93 ,127.02 
2024-5-9 9:45:26,128.58 ,125.94 ,126.98 
2024-5-9 9:45:27,128.59 ,125.95 ,127.01 
2024-5-9 9:45:29,128.69 ,126.06 ,127.12 
2024-5-9 9:45:30,128.64 ,126.03 ,127.09 
2024-5-9 9:45:31,128.72 ,126.14 ,127.13 
2024-5-9 9:45:32,128.83 ,126.21 ,127.18 
2024-5-9 9:45:33,128.75 ,126.17 ,127.16 
2024-5-9 9:45:35,128.79 ,126.19 ,127.18 
2024-5-9 9:45:36,128.80 ,126.19 ,127.21 
2024-5-9 9:45:37,128.78 ,126.17 ,127.19 
2024-5-9 9:45:38,128.81 ,126.21 ,127.19 
2024-5-9 9:45:40,128.85 ,126.26 ,127.26 
2024-5-9 9:45:41,128.85 ,126.23 ,127.23 
2024-5-9 9:45:42,128.85 ,126.22 ,127.21 
2024-5-9 9:45:43,128.86 ,126.22 ,127.21 
2024-5-9 9:45:44,128.84 ,126.17 ,127.22 
2024-5-9 9:45:46,128.85 ,126.09 ,127.15 
2024-5-9 9:45:47,128.78 ,125.94 ,127.15 
2024-5-9 9:45:48,128.66 ,125.93 ,127.09 
2024-5-9 9:45:49,128.69 ,125.95 ,127.07 
2024-5-9 9:45:51,128.66 ,125.93 ,127.02 
2024-5-9 9:45:52,128.67 ,125.94 ,127.01 
2024-5-9 9:45:53,128.60 ,125.81 ,126.91 
2024-5-9 9:45:54,128.59 ,125.76 ,126.91 
2024-5-9 9:45:55,128.53 ,125.76 ,126.93 
2024-5-9 9:45:57,128.53 ,125.79 ,126.88 
2024-5-9 9:45:58,128.49 ,125.77 ,126.82 
2024-5-9 9:45:59,128.48 ,125.72 ,126.83 
2024-5-9 9:46:0,128.47 ,125.70 ,126.70 
2024-5-9 9:46:1,128.51 ,125.72 ,126.76 
2024-5-9 9:46:3,128.54 ,125.79 ,126.80 
2024-5-9 9:46:4,128.43 ,125.71 ,126.80 
2024-5-9 9:46:5,128.44 ,125.74 ,126.78 
2024-5-9 9:46:6,128.43 ,125.71 ,126.78 
2024-5-9 9:46:8,128.46 ,125.74 ,126.80 
2024-5-9 9:46:9,128.48 ,125.74 ,126.85 
2024-5-9 9:46:10,128.54 ,125.88 ,127.05 
2024-5-9 9:46:11,128.64 ,126.02 ,127.06 
2024-5-9 9:46:12,128.66 ,126.02 ,127.06 
2024-5-9 9:46:14,128.68 ,125.99 ,127.07 
2024-5-9 9:46:15,128.68 ,126.03 ,127.09 
2024-5-9 9:46:16,128.58 ,125.91 ,126.98 
2024-5-9 9:46:17,128.63 ,125.92 ,127.00 
2024-5-9 9:46:19,128.60 ,125.91 ,126.94 
2024-5-9 9:46:20,128.54 ,125.85 ,126.88 
2024-5-9 9:46:21,128.55 ,125.86 ,126.83 
2024-5-9 9:46:22,128.46 ,125.81 ,126.86 
2024-5-9 9:46:23,128.40 ,125.77 ,126.82 
2024-5-9 9:46:25,128.49 ,125.83 ,126.82 
2024-5-9 9:46:26,128.46 ,125.78 ,126.78 
2024-5-9 9:46:27,128.49 ,125.77 ,126.77 
2024-5-9 9:46:28,128.49 ,125.82 ,126.85 
2024-5-9 9:46:29,128.44 ,125.82 ,126.84 
2024-5-9 9:46:31,128.43 ,125.77 ,126.79 
2024-5-9 9:46:32,128.39 ,125.67 ,126.76 
2024-5-9 9:46:33,128.37 ,125.67 ,126.70 
2024-5-9 9:46:34,128.44 ,125.68 ,126.70 
2024-5-9 9:46:36,128.41 ,125.63 ,126.73 
2024-5-9 9:46:37,128.44 ,125.64 ,126.71 
2024-5-9 9:46:38,128.49 ,125.77 ,126.84 
2024-5-9 9:46:39,128.48 ,125.74 ,126.80 
2024-5-9 9:46:40,128.46 ,125.70 ,126.77 
2024-5-9 9:46:42,128.51 ,125.70 ,126.78 
2024-5-9 9:46:43,128.48 ,125.66 ,126.74 
2024-5-9 9:46:44,128.42 ,125.63 ,126.73 
2024-5-9 9:46:45,128.39 ,125.61 ,126.68 
2024-5-9 9:46:46,128.47 ,125.71 ,126.82 
2024-5-9 9:46:48,128.57 ,125.71 ,126.80 
2024-5-9 9:46:49,128.57 ,125.75 ,126.86 
2024-5-9 9:46:50,128.65 ,125.83 ,126.91 
2024-5-9 9:46:51,128.65 ,125.84 ,126.93 
2024-5-9 9:46:53,128.68 ,125.93 ,127.04 
2024-5-9 9:46:54,128.66 ,125.85 ,126.99 
